"Name","Location","Type","Data Type","EOL Comment"
"ign_comp_vvt_raw","40001582","Data Label","undefined1",""
"inj_efficiency_test_trim","40001583","Data Label","undefined1",""
"timer_main","40001584","Data Label","undefined4",""
"tps_rate_filtered_for_ign_comp","40001588","Data Label","uint16_t",""
"ecu_run_timer","4000158a","Data Label","ushort","ECU run timer. Mostly housekeeping/diagnostic state."
"dfco_pedal_ramp_target2","4000158c","Data Label","undefined2",""
"fuel_cut_inhibit_timer","40001590","Data Label","u16_time_5ms","Fuel cut inhibit timer. Log to follow fuel delivery and mixture control. (ms; raw*5)"
"fan_1_after_run_timer","40001592","Data Label","u16_time_s","Fan 1 after run timer. Timer/counter -- log to measure how long a condition persists. (s)"
"fan_2_after_run_timer","40001594","Data Label","ushort","Fan 2 after run timer. Runtime state -- log to observe this behavior."
"fan_engine_bay_aux_timer","40001596","Data Label","ushort","Fan engine bay aux timer. Log to follow core engine state."
"tps_delta_rate","40001598","Data Label","uint16_t",""
"tps_rate_current","4000159a","Data Label","u16_factor_1/255","Rate of throttle change. Log to study tip-in/tip-out transients. (0-1; raw/255)"
"fan_engine_bay_ramp_timer","4000159e","Data Label","undefined1",""
"maf_accumulated_2","400015a0","Data Label","u16_mass_g","Running total of inducted air mass. Log for fuel-used / integrated-airflow analysis. (g)"
"fuel_level","400015a2","Data Label","u8_volume_liter","Fuel level in litres. Log for range/consumption tracking. (L)"
"load_learning_stabilization_timer","400015a4","Data Label","undefined2",""
"obd_ii_accumulated_mass_air","400015a8","Data Label","undefined4",""
"cooling_recirc_pump_run_time_ms","400015b4","Data Label","uint32_t",""
"cooling_recirc_pump_stopped_dwell_timer","400015b8","Data Label","undefined2",""
"injtip_overrun_hysteresis_timer","400015ba","Data Label","u16_time_5ms",""
"fan_engine_bay_engine_off_timer","400015bc","Data Label","undefined2",""
"fan_engine_bay_stationary_timer","400015be","Data Label","undefined2",""
"fan_engine_bay_run_duration_timer","400015c0","Data Label","undefined2",""
"fan_engine_bay_off_duration_timer","400015c2","Data Label","undefined2",""
"engine_speed_delta100ms","400015c4","Data Label","u16_rspeed_rpm","Change in RPM over 100 ms (acceleration/deceleration rate). Log to see how fast revs rise/fall."
"injtip_decay_cycle_counter","400015d0","Data Label","uint16_t",""
"load_learning_holdoff_timer","400015d2","Data Label","undefined2",""
"ips_cruise_status_flags","400015d5","Data Label","undefined1",""
"dfco_pedal_ramp_step_interval","400015d6","Data Label","undefined1",""
"flexcan_timeslot_timer","400015d8","Data Label","uint8_t[10]","Flexcan timeslot timer. Internal/infrastructure state -- not a typical data-logging channel."
"etpu_elapsed_min_ticks","400015e8","Data Label","undefined4",""
"etpu_elapsed_max_captured_ticks","400015ec","Data Label","undefined4",""
"runtime_since_start","400015f4","Data Label","u32_time_5ms","Time since the current engine start. Log as a time base for traces. (ms; raw*5)"
"obd_ii_vvt_inlet_angle_bank2","400015fa","Data Label","undefined2",""
"obd_ii_vvt_exhaust_position_bank2","400015fc","Data Label","undefined2",""
"obd_ii_vvt_inlet_position_bank1","400015fe","Data Label","undefined2",""
"obd_ii_vvt_exhaust_position_bank1","40001600","Data Label","undefined2",""
"ign_static_timing_enable","40001608","Data Label","undefined2",""
"maf_voltage_buffer_head","4000160a","Data Label","undefined2",""
"map_voltage_buffer_index","4000160c","Data Label","undefined2",""
"cal_verification_lockout","4000160e","Data Label","bool","Cal verification lockout. Runtime state -- log to observe this behavior."
"slow_period_update_divider","4000160f","Data Label","undefined1",""
"torque_cut_level_prev","4000161e","Data Label","u8_count","Torque cut level prev. Log to follow the ECU torque estimate and any torque limiting."
"torque_cut_remaining_cyl_count","4000161f","Data Label","undefined1",""
"torque_cut_coilpack_failure_mask","40001620","Data Label","undefined1",""
"failed_ignition_cyl_count_prev","40001621","Data Label","uint8_t","Failed ignition cylinder count prev. Runtime state -- log to observe this behavior."
"torque_cut_cyl_anchor","40001622","Data Label","uint16_t",""
"crank_sync_prev_cylinder_idx","40001624","Data Label","undefined1",""
"ign_cyl_active_count_bank2","4000162d","Data Label","undefined1",""
"ign_cyl_active_count_bank1","4000162e","Data Label","undefined1",""
"ign_cyl_cut_flags","4000162f","Data Label","undefined1",""
"next_firing_cyl_index","40001630","Data Label","uint8_t","Next firing cylinder index. Runtime state -- log to observe this behavior."
"idle_speed_period_delta","40001634","Data Label","undefined4",""
"engine_is_running","40001638","Data Label","bool","Flag: engine is running. Log as a state gate for other channels."
"engine_speed_16bit","4000163a","Data Label","u16_rspeed_rpm","Engine speed (RPM). Log it -- the primary reference for almost every other channel."
"obd_ii_engine_speed","4000163c","Data Label","u16_rspeed_1/4rpm","Engine speed as reported on OBD-II (0.25-RPM units). Log to match scan-tool data."
"air_temp_engine_stopped","4000163e","Data Label","u8_temp_5/8-40c","Intake-air temperature latched at key-off. Log to study soak temperatures. (deg C; raw*5/8-40)"
"coolant_temp_engine_stopped","4000163f","Data Label","u8_temp_5/8-40c","Coolant temperature latched at the last key-off. Log to study heat-soak between starts. (deg C; raw*5/8-40)"
"engine_speed_3","40001640","Data Label","u8_rspeed_125/4+500rpm","Engine speed (coarse 8-bit). A lower-resolution RPM copy."
"engine_speed_period_1","40001644","Data Label","undefined4",""
"engine_speed_period_2","40001648","Data Label","undefined4",""
"engine_speed_period_avg","4000164c","Data Label","undefined2",""
"engine_speed_accel","40001650","Data Label","undefined4",""
"injection_flags","40001654","Data Label","undefined2",""
"dfco_active_duration_time","40001656","Data Label","undefined2",""
"engine_running_state","400016b0","Data Label","undefined1",""
"crank_tooth_counter","400016b4","Data Label","undefined2",""
"eTPU_crank_angle_speed_scaling","400016c0","Data Label","undefined4",""
"cyl_fire_counter_unknown","400016c6","Data Label","uint8_t[6]","Cylinder fire counter unknown. Runtime state -- log to observe this behavior."
"cam_sync_pulse_count","400016cc","Data Label","undefined1",""
"fuel_level_sensor_data_raw","400016e1","Data Label","undefined1",""
"UNUSED_wheel_speed_new_data_flag","400016e2","Data Label","undefined1",""
"fuel_level_sensor_flag","400016e4","Data Label","undefined4",""
"nonabs_wheel_speed_period_ticks","400016e8","Data Label","undefined4",""
"obd_ii_relay_status","400016ec","Data Label","undefined1",""
"fuel_level_filtered_x40000","400016f4","Data Label","undefined4",""
"sensor_adc_coolant","400016f8","Data Label","u16_voltage_5/1023v","Sensor ADC coolant. Log the raw sensor signal to check sensor health and range. (V; raw*5/1023)"
"ac_evap_temp_voltage","400016fa","Data Label","u16_voltage_5/1023v","A/C EVAP temperature voltage. Log to see A/C clutch engagement and its load/idle impact. (V; raw*5/1023)"
"sensor_adc_engine_air","400016fc","Data Label","u16_voltage_5/1023v","Sensor ADC engine air. Log the raw sensor signal to check sensor health and range. (V; raw*5/1023)"
"coolant_temp","400016fe","Data Label","u8_temp_5/8-40c","Engine coolant temperature\, the ECU's primary temp input. Log it to verify warm-up\, thermostat regulation\, and that cooling keeps up under sustained load. (deg C; raw*5/8-40)"
"obd_ii_ac_evap_temp","40001700","Data Label","undefined2",""
"temp_engine_air","40001702","Data Label","u8_temp_5/8-40c","Engine intake-air temperature. Log to track charge temperature and IAT-based compensations. (deg C; raw*5/8-40)"
"obd_ii_iat","40001704","Data Label","undefined2",""
"coolant_temp_raw","40001706","Data Label","undefined2",""
"ac_evap_temp_scaled","40001708","Data Label","undefined2",""
"sensor_adc_baro","4000170a","Data Label","u16_voltage_5/1023v",""
"obd_ii_atmospheric_baro","4000170c","Data Label","u16_pressure_mbar","Barometric (ambient) pressure used for altitude/density correction. Log to see how altitude shifts fueling."
"tps_8bit","4000170e","Data Label","u8_factor_1/255","Throttle-plate position\, 0-100% (8-bit). Log to see throttle opening and correlate tip-in with fueling/timing."
"fuel_level_raw","4000170f","Data Label","u8_volume_1/10gallon","Raw fuel-level reading. Log to check sender behavior/slosh. (gal; raw/10)"
"obd_ii_evap_vapor_pressure","40001710","Data Label","undefined2",""
"obd_ii_o2_sensor1_voltage","40001712","Data Label","u16_voltage_5/1023v","Bank-1 pre-cat O2 sensor voltage. Log to watch closed-loop switching and confirm the sensor is alive and oscillating. (V; raw*5/1023)"
"obd_ii_o2_sensor5_voltage","40001714","Data Label","u16_voltage_5/1023v","Bank-2 pre-cat O2 sensor voltage. Log to watch bank-2 fuel control. (V; raw*5/1023)"
"obd_ii_o2_sensor2_voltage","40001716","Data Label","u16_voltage_5/1023v","Bank-1 post-cat O2 sensor voltage. Log to judge catalyst health (post-cat should be lazy/steady). (V; raw*5/1023)"
"obd_ii_o2_sensor6_voltage","40001718","Data Label","u16_voltage_5/1023v","Bank-2 pre-cat O2 sensor voltage. Log to watch bank-2 closed-loop fuel control. (V; raw*5/1023)"
"ignition_on_flags","4000171a","Data Label","undefined2",""
"sensor_adc_ecu_voltage","4000171c","Data Label","u16_voltage_18/1023v","ECU/battery supply voltage. Log it -- low voltage skews injector dead-time and many sensors. (V; raw*18/1023)"
"evap_purge_pressure_voltage","4000171e","Data Label","u16_voltage_5/1023v","EVAP purge pressure voltage. Log the raw sensor voltage to check sensor health and wiring. (V; raw*5/1023)"
"clutch_pos_voltage","40001720","Data Label","u16_voltage_5/1023v","Clutch-pedal position sensor voltage. Log for launch/shift logic and DFCO gating. (V; raw*5/1023)"
"fuel_level_voltage","40001722","Data Label","u16_voltage_5/1023v","Fuel level voltage. Log to follow fuel delivery and mixture control. (V; raw*5/1023)"
"o2_sensor1_heater_current_scaled","40001724","Data Label","undefined2",""
"o2_sensor2_heater_current_scaled","40001726","Data Label","undefined2",""
"o2_sensor5_heater_current_scaled","40001728","Data Label","undefined2",""
"o2_sensor6_heater_current_scaled","4000172a","Data Label","undefined2",""
"sensor_adc_intake_air","4000172c","Data Label","u16_voltage_5/1023v","Sensor ADC intake air. Log the raw sensor signal to check sensor health and range. (V; raw*5/1023)"
"temp_intake_air","4000172e","Data Label","undefined1",""
"sensor_unused_ch1e_scaled","4000172f","Data Label","undefined1",""
"sensor_unpopulated_1772_scaled","40001730","Data Label","undefined1",""
"sensor_adc_unused_ch35","40001732","Data Label","u16_voltage_5/1023v",""
"load_filtered1","40001734","Data Label","undefined4",""
"sensor_adc_map","40001738","Data Label","u16_voltage_5/1023v","Sensor barometric. Log the raw sensor signal to check sensor health and range. (V; raw*5/1023)"
"sport_button_enable","40001742","Data Label","undefined1",""
"lat_accel","40001744","Data Label","undefined2",""
"coolant_temp_derived1","4000174c","Data Label","undefined4",""
"ac_evap_temp_raw","40001750","Data Label","undefined4",""
"iat2","40001758","Data Label","undefined2",""
"sensor_adc_unused_ch4","4000175a","Data Label","u16_voltage_5/1023v",""
"sensor_adc_unused_ch5","4000175c","Data Label","u16_voltage_5/1023v",""
"sensor_adc_unused_ch6","4000175e","Data Label","u16_voltage_5/1023v",""
"sensor_adc_unused_ch7","40001760","Data Label","u16_voltage_5/1023v",""
"fuel_level_update_holdoff_timer","40001762","Data Label","undefined2",""
"lat_accel_last","40001764","Data Label","i32_accel_1/255g","Most recent lateral acceleration. Log for chassis correlation. (g; raw/255)"
"driver_input_flags","40001769","Data Label","uint8_t[2]","Driver input flags. Runtime state -- log to observe this behavior."
"oil_pressure_warning_switch_voltage","4000176c","Data Label","u16_voltage_5/1023v","Oil-pressure warning switch input voltage. Log to confirm oil-pressure switch state. (V; raw*5/1023)"
"unused_byte_variable1","4000176e","Data Label","undefined2",""
"sensor_adc_ign_voltage","40001770","Data Label","u16_voltage_5/1023v","Ignition-switched supply voltage. Log to catch voltage sag affecting coils. (V; raw*5/1023)"
"sensor_adc_unpopulated_1772","40001772","Data Label","undefined2",""
"sensor_adc_unused_ch1e","40001774","Data Label","u16_voltage_5/1023v",""
"ign_adv_target1","40001778","Data Label","i16_angle_1/4","Target ignition advance. Log to follow the timing request. (deg; raw/4)"
"ign_base","4000177a","Data Label","i16_angle_1/4","Base ignition advance from the timing map (before compensations). Log to compare base vs final."
"ign_adv_knock_safe","4000177c","Data Label","i16_angle_1/4","Knock-safe ignition advance limit. Log to see the timing ceiling knock control allows. (deg; raw/4)"
"ign_adv_target_slewed","4000177e","Data Label","i16_angle_1/4",""
"ign_adv_final","40001780","Data Label","i16_angle_1/4","Final commanded ignition advance after all compensations. Log it -- the actual spark timing. (deg; raw/4)"
"ign_dwell_time","40001782","Data Label","undefined2",""
"ign_comp_total","40001784","Data Label","i16_angle_1/4","Sum of all ignition timing compensations. Log to see net trim away from base timing. (deg; raw/4)"
"ign_mbt_modeled","40001786","Data Label","i16_angle_1/4","Modeled MBT (best-torque) timing. Log to see how far from MBT the ECU is running."
"ign_adv_min","40001788","Data Label","i16_angle_1/4","Ignition advance min. Log spark advance to confirm the timing strategy and headroom to knock. (deg; raw/4)"
"ign_comp_idle_speed_error","4000178a","Data Label","i16_angle_1/4deg","Ignition compensation idle speed error. Log spark advance to confirm the timing strategy and headroom to knock. (deg; raw/4)"
"ign_adv_coolant_comp","4000178c","Data Label","i16_angle_1/4deg",""
"ign_maf_accum_trim_startup","4000178e","Data Label","undefined2",""
"ign_comp_startup","40001790","Data Label","i8_angle_1/4deg","Ignition compensation startup. Log spark advance to confirm the timing strategy and headroom to knock. (deg; raw/4)"
"ign_startup_comp_flags","40001792","Data Label","undefined2",""
"ign_comp_tps_rate","40001794","Data Label","i8_angle_1/4deg",""
"obd_ii_ign_adv_per_cylinder","40001796","Data Label","i16_angle_1/4[6]","Ignition advance per cylinder. Log spark advance to confirm the timing strategy and headroom to knock. (deg; raw/4)"
"ign_dfso_active","400017a2","Data Label","undefined2",""
"ign_adv_coldstart_comp","400017a4","Data Label","undefined1",""
"ign_advance_step_tps","400017a5","Data Label","i8_angle_1/4deg",""
"ign_retard_step_tps","400017a6","Data Label","i8_angle_1/4deg","Ignition retard step throttle position. Log spark advance to confirm the timing strategy and headroom to knock. (deg; raw/4)"
"ign_comp_transient_total","400017a8","Data Label","i16_angle_1/4deg",""
"ign_comp_idle_speed_error_moving","400017aa","Data Label","i16_angle_1/4",""
"ign_target_slew_prescaler","400017ac","Data Label","undefined1",""
"ign_target_update_inhibit_timer_5ms","400017ae","Data Label","undefined2",""
"ign_idle_comp_recovery_timer","400017b0","Data Label","u8_time_5ms",""
"ign_mode","400017b1","Data Label","enum_ign_mode","Ignition mode. Log spark advance to confirm the timing strategy and headroom to knock."
"ign_temp_comp_load_scaling","400017b2","Data Label","undefined1",""
"ign_mode_prev","400017b3","Data Label","enum_ign_mode",""
"engine_operating_state_flags_ign_unknown","400017b4","Data Label","undefined1",""
"ign_adv_target_slewed_prev","400017b6","Data Label","i16_angle_1/4",""
"ign_adv_roughness_prev","400017b8","Data Label","i16_angle_1/4",""
"inj_deadtime_base","400017c0","Data Label","u16_time_us",""
"inj_mass_to_time_scaler_b1","400017c4","Data Label","u32_time_us",""
"inj_mass_to_time_scaler_b2","400017c8","Data Label","u32_time_us",""
"obd_ii_injector_pulse_time_bank1_us","400017cc","Data Label","u32_time_us","Bank-1 injector pulse width (us). Log it -- direct measure of fuel delivered; key for injector sizing/duty."
"obd_ii_injector_pulse_time_bank2_us","400017d0","Data Label","u32_time_us","Bank-2 injector pulse width (us). Log for bank-2 fuel delivery and duty cycle."
"inj_startup_pulse_time","400017d4","Data Label","u32_time_us","Cranking/startup injector pulse width. Log to tune cold-start fueling. (us)"
"inj_start_angle_target","400017d8","Data Label","u32_angle_1/10defg",""
"inj_start_angle_actual","400017dc","Data Label","undefined4",""
"afr_target","400017e0","Data Label","u16_afr_1/100","Commanded air/fuel ratio target. Log it -- the single most important channel for verifying mixture while tuning. (AFR; raw/100)"
"inj_flow_rate","400017e2","Data Label","u16_flow_mg/s","Commanded injector flow rate. Log to follow fuel delivery vs target. (mg/s)"
"inj_fuel_mass_required","400017e4","Data Label","u16_mass_10ug",""
"fuel_power_enrich_flags","400017e6","Data Label","uint8_t",""
"inj_pw_bank1_post_trim_us","400017e8","Data Label","u32_time_us",""
"inj_pw_bank2_post_trim_us","400017ec","Data Label","u32_time_us",""
"inj_startup_enrichment_offset","400017f0","Data Label","u32_time_us",""
"inj_pw_bank1_pre_trim_us","400017f4","Data Label","u32_time_us",""
"inj_pw_bank2_pre_trim_us","400017f8","Data Label","u32_time_us",""
"inj_fuel_mass_bank1","400017fc","Data Label","u16_mass_10ug",""
"inj_fuel_mass_bank2","400017fe","Data Label","u16_mass_10ug",""
"inj_angle_raw","40001800","Data Label","u8_angle_720/256deg",""
"afr_enrichment_from_ign_retard","40001801","Data Label","u8_afr_1/100","Extra fuel enrichment added when timing is retarded (e.g. under knock). Log to see protective enrichment kick in."
"inj_efficiency","40001802","Data Label","u8_factor_1/200",""
"inj_duty_bank1_pct","40001803","Data Label","u8_factor_1/100",""
"inj_duty_bank2_pct","40001804","Data Label","u8_factor_1/100",""
"fuel_usage_instantaneous","40001806","Data Label","u16_economy_1/10ml_per_km",""
"fuel_mileage_instantaneous","40001808","Data Label","undefined2",""
"coilpack_failure_flags","4000180a","Data Label","undefined2",""
"inj_bank_balance_ratio","4000180c","Data Label","u8_factor_1/200",""
"rev_limit_active_time","4000180d","Data Label","u8_time_100ms",""
"revlimit_fuelcut_count","4000180e","Data Label","uint8_t","Revlimit fuelcut count. Log to confirm where and how the rev limiter intervenes."
"inj_mass_ratio_from_evap_purge_b1","4000180f","Data Label","u8_factor_1/255",""
"inj_mass_ratio_from_evap_purge_b2","40001810","Data Label","u8_factor_1/255",""
"rev_limit_tick_10hz","40001811","Data Label","u8_time_5ms",""
"afr_closedloop_hold_timer","40001812","Data Label","u16_time_5ms",""
"inj_enrichment_cranking_blend","40001814","Data Label","u8_factor_1/255",""
"inj_cranking_enrichment_soak_time","40001815","Data Label","u8_factor_1/255",""
"inj_cranking_enrichment_air_temp","40001816","Data Label","undefined1",""
"inj_cranking_enrichment_mass_accum","40001817","Data Label","undefined1",""
"inj_pw_max_available_us","40001818","Data Label","u32_time_us",""
"inj_pulse_angle_b1","40001820","Data Label","u32_angle_1/10deg",""
"inj_pulse_angle_b2","40001824","Data Label","u32_angle_1/10deg",""
"etpu_sdm_param24_base","40001830","Data Label","undefined4",""
"etpu_sdm_base","40001838","Data Label","undefined4",""
"etpu_mcr_addr","40001840","Data Label","uint32_t *","ETPU mcr addr. Internal/infrastructure state -- not a typical data-logging channel."
"timer_main_start2","4000186c","Data Label","undefined4",""
"preserve_perf??","40001870","Data Label","bool",""
"lea_init_stamp_lo","40001872","Data Label","uint16_t",""
"lea_init_stamp_hi","40001874","Data Label","uint16_t",""
"lea_init_status_flags","40001878","Data Label","uint8_t",""
